Ticker,Name,Sector,Industry,Country
AT0000A3A9Z9.VI,Voestalpine,N/A,N/A,N/A
VER.VI,Verbund AG Kat. A,Utilities,Utilities - Renewable,Austria
WIBA.SG,Wienerberger AG,N/A,N/A,N/A
NOKIA.HE,Nokia Oyj,Technology,Communication Equipment,Finland
AT0000A2MZR2.VI,BMW ST,N/A,N/A,N/A
FME.DE,Fresenius Medical Care,Healthcare,Medical Care Facilities,Germany
DTE.DE,Deutsche Telekom AG,Communication Services,Telecom Services,Germany
MRK,Merck,Healthcare,Drug Manufacturers - General,United States
IFX.DE,Infineon,Technology,Semiconductors,Germany
SAP.DE,SAP,Technology,Software - Application,Germany
TKA.DE,Thyssenkrupp AG,Industrials,Conglomerates,Germany
RHM.DE,Rheinmetall AG,Industrials,Aerospace & Defense,Germany
VOD.L,Vodafone Group PLC,Communication Services,Telecom Services,United Kingdom
MMB.PA,Lagardere,Consumer Cyclical,Specialty Retail,France
KER.PA,Kering,Consumer Cyclical,Luxury Goods,France
URW.PA,Unibail-Rodamco,Real Estate,REIT - Retail,France
LXSD.XC,Lanxess AG,Basic Materials,Specialty Chemicals,Germany
BEI.DE,Beiersdorf AG,Consumer Defensive,Household & Personal Products,Germany
FRE.DE,Fresenius SE,Healthcare,Medical Care Facilities,Germany
FNTN.DE,Freenet AG,Communication Services,Telecom Services,Germany
G1A.HM,GEA Group AG,N/A,N/A,N/A
SDF1.MU,K+S AG,N/A,N/A,N/A
MTX.DE,MTU Aero,Industrials,Aerospace & Defense,Germany
SY1.DE,Symrise AG,Basic Materials,Specialty Chemicals,Germany
HEI.DE,Heidelberg Materials,Basic Materials,Building Materials,Germany
QIA.DE,Qiagen,Healthcare,Diagnostics & Research,Netherlands
UTDI.DE,United Internet AG,Communication Services,Telecom Services,Germany
BOSS.DE,Hugo Boss AG,Consumer Cyclical,Apparel Manufacturing,Germany
FERG.L,Ferguson,Industrials,Industrial Distribution,United States
AZN.L,AstraZeneca,Healthcare,Drug Manufacturers - General,United Kingdom
BWY.L,Bellway,Consumer Cyclical,Residential Construction,United Kingdom
RIEE.L,Legal & General,N/A,N/A,N/A
IMBBY,Imperial Brands,Consumer Defensive,Tobacco,United Kingdom
